,Suit1,Card1,Suit2,Card2,Suit3,Card3,Suit4,Card4,Suit5,Card5
83,Spades,Ten,Spades,Jack,Spades,Five,Diamonds,Six,Spades,Four
84,Spades,Queen,Clubs,Six,Diamonds,Nine,Clubs,Ace,Clubs,Queen
85,Hearts,Eight,Hearts,Ten,Spades,King,Diamonds,Five,Hearts,Four
86,Spades,Seven,Hearts,Four,Spades,King,Diamonds,Two,Clubs,Queen
87,Spades,Seven,Clubs,Queen,Clubs,Ace,Clubs,King,Diamonds,Jack
88,Hearts,Nine,Diamonds,Three,Clubs,Four,Hearts,Ten,Spades,Ace
89,Spades,Ace,Diamonds,Queen,Diamonds,Eight,Hearts,Two,Diamonds,Ace
90,Hearts,Nine,Diamonds,Ten,Hearts,Eight,Clubs,Four,Hearts,Five
91,Spades,Ace,Spades,Eight,Spades,Six,Diamonds,Ace,Diamonds,Four
92,Clubs,Jack,Diamonds,Queen,Diamonds,Four,Clubs,Queen,Clubs,Seven
93,Diamonds,Two,Clubs,Queen,Diamonds,Eight,Spades,Seven,Diamonds,Jack
94,Diamonds,Queen,Spades,Queen,Spades,Eight,Diamonds,Jack,Hearts,Six
95,Diamonds,Seven,Hearts,Eight,Hearts,Seven,Clubs,Queen,Spades,Eight
96,Hearts,Nine,Clubs,Six,Clubs,Nine,Spades,Nine,Hearts,Ace
97,Diamonds,Ten,Hearts,Seven,Clubs,Seven,Clubs,Six,Hearts,Jack
98,Spades,Ten,Hearts,Four,Diamonds,Queen,Clubs,Nine,Spades,Nine
99,Spades,Jack,Spades,Three,Diamonds,Ace,Spades,Nine,Diamonds,Two
100,Hearts,King,Hearts,Three,Hearts,Queen,Clubs,Jack,Spades,Queen
101,Spades,Seven,Hearts,Six,Diamonds,Six,Clubs,King,Clubs,Nine
102,Spades,Ace,Diamonds,Two,Spades,Ten,Clubs,Ace,Clubs,Queen
103,Spades,Two,Spades,Eight,Clubs,Nine,Diamonds,Queen,Clubs,Five
104,Clubs,Nine,Spades,Jack,Clubs,Seven,Diamonds,Queen,Hearts,Four
105,Hearts,Six,Diamonds,Nine,Spades,Eight,Spades,Two,Clubs,Nine
106,Hearts,Seven,Clubs,Four,Clubs,Queen,Diamonds,Seven,Spades,Two
107,Clubs,Ten,Spades,Ace,Clubs,Jack,Diamonds,Jack,Spades,Jack
108,Diamonds,Queen,Hearts,Ace,Diamonds,King,Clubs,Jack,Spades,Seven
109,Clubs,Five,Diamonds,Jack,Spades,Seven,Clubs,Eight,Diamonds,Eight
110,Diamonds,Four,Spades,Jack,Clubs,Eight,Hearts,Queen,Clubs,Six
111,Clubs,Ace,Diamonds,Ten,Diamonds,Three,Diamonds,King,Diamonds,Jack
112,Spades,Two,Diamonds,Four,Clubs,King,Hearts,Five,Spades,King
113,Hearts,Two,Spades,Nine,Hearts,Queen,Diamonds,Ten,Hearts,Jack
114,Hearts,Three,Spades,Ace,Diamonds,King,Diamonds,Four,Hearts,Nine
115,Diamonds,Six,Spades,King,Clubs,King,Diamonds,Ten,Spades,Queen
116,Diamonds,Nine,Clubs,Queen,Clubs,Ten,Hearts,Three,Hearts,Six
117,Clubs,Seven,Diamonds,Two,Clubs,Five,Diamonds,Nine,Spades,Five
118,Clubs,Two,Spades,Seven,Diamonds,King,Spades,Queen,Hearts,Seven
119,Spades,Three,Hearts,Five,Diamonds,Seven,Clubs,Ace,Diamonds,Eight
120,Spades,Nine,Hearts,Four,Spades,Five,Spades,Ten,Clubs,Ace
121,Diamonds,Ace,Clubs,Ten,Spades,Ten,Hearts,Five,Spades,Jack
122,Spades,King,Clubs,Six,Hearts,Jack,Diamonds,Three,Clubs,Seven
123,Clubs,Jack,Diamonds,King,Hearts,Ace,Hearts,King,Spades,Two
124,Spades,Queen,Spades,Four,Diamonds,Two,Spades,Seven,Clubs,Queen
125,Hearts,Two,Clubs,Two,Clubs,Ten,Spades,Jack,Diamonds,Ace
126,Hearts,Four,Hearts,Three,Hearts,Queen,Clubs,Eight,Clubs,King
127,Clubs,Jack,Clubs,Queen,Diamonds,Four,Hearts,Nine,Spades,King
128,Spades,Ten,Diamonds,Nine,Clubs,King,Hearts,Queen,Spades,Seven
129,Clubs,Jack,Clubs,Eight,Diamonds,Two,Clubs,Ten,Diamonds,Three
130,Spades,Ten,Clubs,Three,Clubs,Jack,Hearts,Four,Spades,Seven
131,Diamonds,Ten,Hearts,Nine,Clubs,Three,Spades,Four,Hearts,Four
132,Diamonds,Queen,Diamonds,Ten,Clubs,Six,Spades,Six,Spades,King
133,Hearts,Jack,Diamonds,Five,Spades,King,Clubs,Queen,Spades,Two
134,Diamonds,Six,Clubs,Two,Diamonds,Ten,Spades,Seven,Hearts,Eight
135,Clubs,Queen,Diamonds,Ace,Spades,King,Spades,Six,Spades,Ace
136,Diamonds,Queen,Clubs,Two,Clubs,Three,Diamonds,King,Spades,Eight
137,Clubs,Queen,Spades,Nine,Spades,Five,Spades,Queen,Diamonds,Ten
138,Spades,Five,Spades,Two,Spades,Eight,Clubs,Six,Hearts,Nine
139,Diamonds,Two,Clubs,Seven,Clubs,Four,Clubs,Five,Hearts,Three
140,Clubs,Ace,Clubs,Seven,Diamonds,Six,Spades,Three,Clubs,Ten
141,Diamonds,Ten,Hearts,Seven,Clubs,Seven,Spades,Six,Spades,Four
142,Hearts,Jack,Diamonds,Three,Clubs,Queen,Hearts,Four,Hearts,Six
143,Hearts,Two,Diamonds,Four,Hearts,Queen,Spades,Eight,Diamonds,Ace
144,Clubs,Five,Clubs,Seven,Diamonds,Ace,Diamonds,Nine,Spades,Three
145,Spades,King,Clubs,Five,Spades,Jack,Diamonds,Nine,Clubs,Ten
146,Diamonds,Seven,Spades,Three,Diamonds,Queen,Spades,Ten,Spades,Two
147,Hearts,King,Hearts,Eight,Clubs,Six,Hearts,Jack,Spades,Seven
148,Clubs,Queen,Spades,Two,Clubs,Jack,Clubs,Three,Diamonds,Ace
149,Hearts,King,Spades,Five,Clubs,Queen,Spades,Queen,Clubs,Ace
150,Diamonds,Seven,Hearts,Nine,Spades,Two,Clubs,Six,Clubs,Ace
151,Clubs,Eight,Clubs,Ten,Clubs,Five,Hearts,Jack,Hearts,Nine
152,Hearts,Eight,Clubs,Seven,Clubs,King,Spades,Six,Diamonds,Six
153,Clubs,Five,Spades,Four,Diamonds,Nine,Hearts,Ten,Spades,King
154,Clubs,Three,Spades,Two,Clubs,Ten,Hearts,Four,Clubs,Jack
155,Diamonds,Eight,Hearts,Eight,Spades,Five,Diamonds,Three,Diamonds,Ace
156,Diamonds,Seven,Spades,Five,Hearts,Jack,Diamonds,Four,Diamonds,Five
157,Spades,Four,Hearts,Four,Hearts,Seven,Clubs,Eight,Hearts,Five
158,Spades,Ten,Diamonds,Ten,Spades,King,Spades,Six,Hearts,Six
159,Clubs,Nine,Diamonds,Jack,Diamonds,Eight,Hearts,Four,Diamonds,King
160,Clubs,Seven,Spades,Queen,Diamonds,Three,Hearts,Eight,Hearts,Seven
161,Hearts,Five,Hearts,Ace,Diamonds,Three,Spades,Queen,Diamonds,Jack
162,Hearts,Four,Hearts,Six,Clubs,King,Spades,King,Clubs,Three
163,Clubs,Three,Spades,King,Spades,Four,Diamonds,Seven,Hearts,Two
164,Spades,Seven,Clubs,Ten,Hearts,Ten,Hearts,Two,Clubs,Five
165,Spades,Nine,Spades,Four,Hearts,Ten,Diamonds,Seven,Spades,Seven
166,Diamonds,Three,Diamonds,Eight,Clubs,Eight,Hearts,Ace,Hearts,Jack
167,Clubs,Seven,Clubs,Jack,Diamonds,Five,Diamonds,Queen,Hearts,Three
168,Hearts,Ace,Clubs,Eight,Spades,Four,Diamonds,Ten,Clubs,Five
169,Spades,Queen,Clubs,Two,Hearts,Five,Diamonds,Ten,Hearts,Ten
170,Clubs,Two,Clubs,Eight,Clubs,Seven,Hearts,Three,Clubs,Six
171,Spades,Four,Hearts,Eight,Hearts,Queen,Hearts,Nine,Clubs,Ten
172,Spades,Three,Hearts,Six,Spades,Queen,Diamonds,Six,Clubs,Five
173,Diamonds,Ace,Diamonds,Nine,Clubs,King,Hearts,Five,Diamonds,Seven
174,Spades,Six,Clubs,Four,Hearts,King,Clubs,Six,Clubs,Five
175,Clubs,Three,Clubs,Ten,Spades,Eight,Hearts,Seven,Diamonds,Ten
176,Diamonds,Ten,Spades,Nine,Hearts,Ace,Spades,Jack,Spades,Eight
177,Clubs,Six,Diamonds,Three,Diamonds,Seven,Spades,Four,Spades,Two
178,Spades,Ace,Spades,Seven,Hearts,Queen,Clubs,Eight,Hearts,Five
179,Clubs,Five,Hearts,Jack,Diamonds,Ten,Hearts,Ace,Diamonds,Ace
180,Clubs,Ace,Clubs,Jack,Diamonds,Ten,Spades,Nine,Diamonds,Two
181,Diamonds,Jack,Spades,Seven,Spades,Queen,Spades,Five,Hearts,Seven
182,Diamonds,Ace,Clubs,Six,Clubs,King,Clubs,Jack,Clubs,Queen
183,Hearts,Ace,Spades,Three,Diamonds,Two,Clubs,Ten,Hearts,Nine
184,Hearts,King,Diamonds,Ace,Spades,Ten,Spades,Six,Hearts,Queen
185,Spades,Ten,Diamonds,Ace,Diamonds,Nine,Spades,Nine,Diamonds,Five
186,Spades,King,Hearts,Ace,Spades,Queen,Hearts,Seven,Spades,Seven
187,Diamonds,Five,Hearts,Eight,Clubs,Jack,Clubs,Six,Spades,Three
188,Diamonds,Ten,Spades,Three,Spades,Ace,Clubs,Seven,Clubs,Ten
189,Clubs,Jack,Spades,King,Spades,Eight,Spades,Ace,Clubs,Queen
190,Spades,Five,Hearts,Two,Diamonds,Four,Clubs,Eight,Diamonds,Nine
191,Hearts,Queen,Diamonds,Three,Spades,Two,Spades,Four,Spades,Eight
192,Clubs,Six,Spades,Ten,Spades,Queen,Diamonds,Five,Hearts,Jack
193,Diamonds,Ace,Spades,Jack,Clubs,Jack,Hearts,King,Spades,Two
194,Spades,Four,Spades,Seven,Clubs,Four,Spades,Six,Spades,Eight
195,Hearts,Three,Clubs,Three,Clubs,Four,Diamonds,Ace,Clubs,King
196,Diamonds,Three,Hearts,Ace,Clubs,Three,Spades,King,Clubs,Eight
197,Clubs,Seven,Hearts,Three,Clubs,Four,Clubs,Ace,Diamonds,Jack
198,Clubs,Two,Spades,Three,Diamonds,Eight,Clubs,Seven,Spades,King
199,Clubs,Five,Spades,Five,Spades,Ace,Clubs,Eight,Hearts,King
200,Clubs,Nine,Diamonds,King,Clubs,Ten,Spades,Two,Hearts,Seven
201,Spades,Queen,Spades,Nine,Clubs,Ace,Clubs,Two,Hearts,Jack
202,Hearts,Ten,Diamonds,Nine,Diamonds,Ten,Hearts,Eight,Clubs,King
203,Clubs,Two,Clubs,Four,Hearts,Five,Clubs,Ten,Diamonds,Three
204,Hearts,Three,Clubs,Ten,Clubs,Eight,Clubs,Four,Clubs,King
205,Diamonds,Queen,Spades,Two,Clubs,Jack,Diamonds,Eight,Spades,Ace
206,Hearts,Six,Spades,Ace,Hearts,Eight,Diamonds,Nine,Hearts,Five
207,Spades,Ace,Spades,Nine,Diamonds,Nine,Diamonds,King,Spades,Eight
208,Clubs,Ten,Hearts,Jack,Diamonds,Queen,Clubs,Five,Diamonds,Six
209,Diamonds,Ten,Hearts,Queen,Hearts,Seven,Diamonds,King,Spades,Queen
210,Diamonds,Ten,Spades,Seven,Clubs,Two,Diamonds,Queen,Spades,Two
211,Spades,Seven,Clubs,Nine,Hearts,Five,Diamonds,Nine,Diamonds,Six
212,Spades,Four,Spades,Two,Spades,Five,Clubs,Ace,Clubs,Four
213,Diamonds,Ace,Spades,Three,Clubs,Queen,Diamonds,King,Diamonds,Eight
214,Hearts,Queen,Spades,Eight,Spades,Two,Hearts,Ace,Diamonds,Eight
215,Spades,Queen,Clubs,Five,Diamonds,Ten,Spades,King,Clubs,Eight
216,Hearts,Ace,Hearts,King,Clubs,Jack,Diamonds,King,Clubs,Four
217,Clubs,Two,Hearts,King,Spades,Six,Spades,Seven,Spades,Jack
218,Diamonds,Eight,Hearts,Three,Clubs,Ten,Diamonds,Queen,Spades,Ace
219,Diamonds,Two,Diamonds,Jack,Hearts,Queen,Hearts,King,Diamonds,Nine
220,Diamonds,King,Hearts,Two,Diamonds,Two,Hearts,Nine,Diamonds,Jack
221,Hearts,Queen,Spades,Ten,Hearts,Four,Hearts,Three,Hearts,Six
222,Spades,Jack,Spades,Six,Clubs,Eight,Clubs,Seven,Spades,Queen
223,Diamonds,Six,Spades,Jack,Diamonds,Two,Diamonds,Ten,Hearts,Jack
224,Hearts,Eight,Spades,Nine,Spades,Ten,Clubs,King,Diamonds,Ace
225,Clubs,Eight,Spades,Jack,Spades,Queen,Diamonds,Three,Clubs,Jack
226,Diamonds,King,Hearts,Three,Spades,Seven,Hearts,Eight,Clubs,Eight
227,Hearts,Jack,Hearts,Ace,Diamonds,Ten,Clubs,Nine,Diamonds,Six
228,Spades,King,Spades,Jack,Spades,Six,Clubs,Nine,Diamonds,Four
229,Hearts,Jack,Hearts,Eight,Diamonds,Three,Spades,Seven,Hearts,Queen
230,Hearts,Seven,Diamonds,Ace,Hearts,Five,Hearts,Ace,Spades,Three
231,Diamonds,Queen,Spades,Seven,Clubs,Four,Hearts,Two,Spades,Ten
232,Clubs,Ten,Hearts,Four,Clubs,Two,Spades,Jack,Hearts,Ace
233,Hearts,Four,Hearts,Queen,Hearts,Two,Clubs,Nine,Spades,Queen
234,Clubs,Ten,Diamonds,Nine,Diamonds,Queen,Spades,Two,Hearts,Jack
235,Clubs,Jack,Hearts,Ace,Spades,Ace,Hearts,Three,Diamonds,Five
236,Diamonds,Seven,Clubs,Three,Clubs,Eight,Diamonds,Ten,Clubs,Two
237,Diamonds,Ace,Diamonds,Ten,Hearts,Four,Spades,Ten,Spades,Three
238,Diamonds,King,Spades,Four,Spades,Nine,Spades,Three,Diamonds,Three
239,Diamonds,Jack,Spades,Ten,Diamonds,Queen,Hearts,Three,Hearts,Ten
240,Hearts,Two,Clubs,Queen,Diamonds,Six,Spades,Five,Clubs,Four
241,Clubs,Two,Diamonds,Four,Clubs,Nine,Spades,Ace,Spades,Six
242,Spades,Seven,Spades,Three,Diamonds,King,Hearts,Five,Clubs,Five
243,Spades,Nine,Clubs,Eight,Spades,Eight,Spades,Three,Spades,Seven
244,Clubs,Six,Clubs,Queen,Hearts,Two,Hearts,Eight,Spades,Seven
245,Diamonds,Eight,Hearts,King,Hearts,Seven,Clubs,Seven,Diamonds,King
246,Diamonds,Nine,Hearts,King,Clubs,Eight,Clubs,Nine,Hearts,Six
247,Hearts,Jack,Hearts,Ten,Clubs,Ten,Diamonds,King,Hearts,King
248,Hearts,Jack,Hearts,Ten,Diamonds,Three,Clubs,Six,Diamonds,Four
249,Diamonds,Nine,Diamonds,Ace,Hearts,Ten,Clubs,Five,Diamonds,Four
250,Clubs,Queen,Diamonds,Ace,Spades,Ace,Hearts,Jack,Clubs,Jack
251,Clubs,Two,Hearts,Eight,Spades,Six,Spades,Ten,Diamonds,Eight
252,Clubs,Seven,Diamonds,Seven,Clubs,Nine,Clubs,Three,Clubs,Ten
253,Hearts,Queen,Clubs,Four,Spades,Nine,Diamonds,Six,Diamonds,Ace
254,Diamonds,Seven,Spades,Seven,Diamonds,Four,Diamonds,Six,Hearts,Three
255,Clubs,Six,Spades,Nine,Clubs,Seven,Hearts,Eight,Diamonds,Eight
256,Clubs,Queen,Hearts,Three,Diamonds,Three,Clubs,Seven,Diamonds,Ten
257,Hearts,Jack,Spades,Six,Spades,Three,Clubs,Queen,Clubs,Jack
258,Diamonds,Eight,Diamonds,Six,Spades,Jack,Diamonds,Five,Spades,Four
259,Diamonds,Four,Spades,Jack,Hearts,Nine,Spades,Ace,Diamonds,Eight
260,Spades,Five,Hearts,Four,Clubs,Two,Clubs,Ten,Hearts,Six
261,Clubs,Three,Diamonds,Five,Spades,Queen,Hearts,Two,Clubs,Four
262,Diamonds,Six,Spades,King,Diamonds,Nine,Hearts,King,Hearts,Ten
263,Spades,Jack,Diamonds,Six,Clubs,Seven,Diamonds,Two,Diamonds,Jack
264,Hearts,Ace,Spades,Five,Diamonds,Ten,Hearts,Four,Hearts,Six
265,Diamonds,Ten,Hearts,Eight,Hearts,Six,Clubs,Ace,Spades,Two
266,Hearts,Six,Hearts,Four,Hearts,Ace,Clubs,Jack,Spades,King
267,Spades,Nine,Spades,Four,Hearts,King,Hearts,Three,Diamonds,Two
268,Diamonds,Ace,Spades,Nine,Spades,Eight,Spades,Six,Hearts,Ace
269,Clubs,Six,Hearts,Nine,Diamonds,Eight,Clubs,Ace,Clubs,Jack
270,Diamonds,Seven,Hearts,Four,Spades,Two,Diamonds,Two,Spades,Queen
271,Spades,Seven,Spades,King,Diamonds,Ten,Hearts,Nine,Hearts,Ten
272,Clubs,Nine,Spades,Two,Hearts,Jack,Spades,Queen,Diamonds,Jack
273,Spades,Three,Diamonds,Four,Spades,Eight,Clubs,Four,Diamonds,Queen
274,Spades,Eight,Hearts,Six,Spades,Six,Spades,Seven,Diamonds,King
275,Hearts,Ace,Hearts,Queen,Clubs,Three,Clubs,Six,Diamonds,Ace
276,Spades,Queen,Clubs,Jack,Spades,Three,Diamonds,Ace,Diamonds,King
277,Clubs,Ten,Hearts,Five,Diamonds,Seven,Clubs,Nine,Hearts,Nine
278,Clubs,Nine,Spades,King,Hearts,Three,Spades,Six,Diamonds,Five
279,Hearts,Five,Clubs,Three,Clubs,Queen,Diamonds,Five,Spades,King
280,Clubs,Nine,Hearts,Queen,Clubs,Ace,Hearts,Four,Diamonds,Ace
281,Hearts,Eight,Spades,Eight,Hearts,Seven,Hearts,Queen,Spades,Four
282,Clubs,Five,Diamonds,Two,Spades,Seven,Hearts,Nine,Clubs,Queen
283,Hearts,Eight,Spades,Two,Spades,Three,Clubs,Two,Spades,Seven
284,Hearts,Three,Spades,King,Diamonds,Four,Clubs,Five,Hearts,Five
285,Clubs,Four,Spades,Three,Diamonds,Queen,Hearts,Ten,Diamonds,Ten
286,Clubs,Four,Spades,Eight,Clubs,Queen,Hearts,Four,Diamonds,Two
287,Diamonds,King,Spades,Two,Clubs,King,Clubs,Six,Diamonds,Two
288,Clubs,Ten,Clubs,Three,Clubs,Six,Clubs,Ace,Spades,King
289,Diamonds,Ten,Diamonds,Seven,Hearts,Eight,Diamonds,Five,Spades,Jack
290,Clubs,Eight,Diamonds,Five,Clubs,Six,Clubs,Two,Clubs,Seven
291,Clubs,Queen,Clubs,Seven,Spades,Four,Diamonds,King,Diamonds,Jack
292,Hearts,Nine,Clubs,Eight,Hearts,Three,Diamonds,King,Hearts,Queen
293,Clubs,Six,Hearts,Seven,Clubs,Nine,Spades,Ten,Clubs,Jack
294,Spades,Seven,Hearts,Four,Hearts,Queen,Hearts,King,Clubs,Four
295,Clubs,Ten,Spades,Nine,Spades,Four,Clubs,King,Diamonds,Nine
296,Spades,Ten,Clubs,Ace,Hearts,Two,Clubs,Queen,Clubs,Four
297,Hearts,Two,Spades,Ten,Clubs,Ace,Spades,Two,Clubs,Five
298,Spades,Eight,Clubs,Jack,Spades,Five,Clubs,Five,Clubs,Two
299,Hearts,King,Diamonds,Queen,Spades,Queen,Hearts,Nine,Clubs,Queen
300,Hearts,Six,Clubs,Five,Diamonds,Eight,Spades,King,Clubs,Two
301,Diamonds,Two,Diamonds,Jack,Hearts,Ace,Clubs,Seven,Clubs,Two
302,Spades,Seven,Hearts,Ace,Spades,Six,Diamonds,Ten,Clubs,Eight
303,Diamonds,Seven,Clubs,Two,Clubs,Eight,Hearts,King,Hearts,Ace
304,Clubs,Seven,Spades,King,Clubs,Two,Diamonds,Queen,Clubs,Five
305,Diamonds,Four,Hearts,King,Diamonds,Eight,Diamonds,Five,Hearts,Three
306,Spades,Queen,Clubs,Four,Clubs,Six,Hearts,Queen,Hearts,Nine
307,Clubs,Ace,Hearts,King,Hearts,Seven,Diamonds,King,Diamonds,Jack
308,Hearts,Ten,Spades,Ten,Clubs,Two,Spades,Six,Clubs,Four
309,Clubs,Queen,Spades,Four,Hearts,Jack,Clubs,King,Clubs,Six
310,Hearts,Jack,Diamonds,Nine,Spades,Three,Clubs,Six,Clubs,Ace
311,Hearts,Five,Hearts,Seven,Clubs,Seven,Hearts,King,Diamonds,Jack
312,Diamonds,Ten,Hearts,Two,Clubs,Queen,Clubs,Six,Diamonds,Five
313,Diamonds,Two,Hearts,Four,Diamonds,Queen,Hearts,Ten,Diamonds,Eight
