,Suit1,Card1,Suit2,Card2,Suit3,Card3,Suit4,Card4,Suit5,Card5
169010,4,2,2,9,2,4,1,9,4,9
511268,2,3,4,5,2,6,4,3,4,7
724643,2,6,4,7,1,9,3,4,3,11
539475,1,13,3,7,4,12,3,12,4,6
446426,4,4,4,9,2,5,2,3,3,7
546844,2,5,4,12,1,3,3,8,1,11
744232,3,13,2,11,4,12,2,12,1,4
237872,2,4,1,1,1,10,2,7,3,8
633038,1,10,4,13,1,7,3,10,4,4
549949,1,6,4,3,2,6,2,8,4,1
193518,4,3,3,3,1,8,2,7,1,10
897379,4,9,2,7,1,7,2,6,1,6
553571,4,1,2,3,1,7,2,7,4,4
223726,3,1,2,6,1,3,1,2,1,11
893985,1,1,3,12,4,10,2,7,4,8
844339,4,7,1,5,4,5,2,4,4,11
478449,1,11,3,7,4,12,3,5,2,9
292158,2,7,3,12,3,3,1,8,2,5
457551,3,12,1,7,3,4,3,8,3,5
652202,1,9,1,5,2,12,3,5,2,5
456282,1,9,2,6,4,10,1,7,2,13
737007,4,11,4,4,3,4,2,10,4,6
396594,1,7,3,11,2,5,1,8,3,6
705198,1,12,1,7,4,5,4,6,4,2
87553,1,10,2,8,1,12,4,6,4,13
304806,1,10,2,2,1,6,3,12,1,2
414796,1,12,4,13,3,10,2,10,2,8
111345,4,11,1,8,1,5,4,5,3,12
469079,2,8,4,7,4,4,4,8,1,9
12637,2,9,4,7,1,2,2,1,1,11
889127,3,1,4,3,3,3,4,8,2,2
194057,2,8,3,5,3,8,2,2,1,11
56590,2,9,4,12,3,8,2,11,2,5
672025,1,6,3,3,4,11,3,4,4,2
180916,1,6,2,13,3,13,2,6,1,9
813588,4,9,4,1,4,8,3,11,4,6
81663,4,10,4,3,3,12,3,3,4,5
148100,3,1,1,3,4,5,3,6,2,10
741170,2,2,4,6,4,5,3,11,1,3
529637,2,13,4,13,3,7,4,11,2,4
343873,2,1,2,5,1,1,2,10,1,12
377071,3,9,1,8,1,11,1,5,2,5
805169,4,6,3,1,3,13,3,2,2,12
215196,2,4,3,2,1,10,1,2,1,7
336111,4,11,3,12,1,4,4,7,4,9
908937,4,13,1,12,3,11,4,1,2,8
817974,3,5,3,10,1,13,4,6,1,11
894024,1,4,4,1,4,10,4,6,2,11
154782,1,2,1,9,2,6,2,13,4,3
977809,2,12,1,9,2,6,3,1,2,1
499894,1,2,1,9,4,3,1,13,2,1
758940,2,11,3,7,4,6,4,5,3,2
830604,2,8,4,12,2,4,3,4,3,6
442396,3,3,3,4,2,9,1,9,2,7
769979,4,2,4,13,2,8,2,5,3,3
105135,2,7,3,9,1,2,3,2,4,2
657805,4,1,4,11,3,9,4,4,1,2
571394,4,6,2,3,1,6,2,13,1,2
746361,1,2,2,12,1,8,3,5,1,13
964728,1,8,3,4,3,10,1,10,1,2
109621,4,11,3,2,3,10,3,12,1,2
280842,3,10,4,13,2,8,4,5,3,13
478988,4,4,1,13,4,13,1,9,2,10
408273,2,4,1,9,2,8,3,12,3,5
517466,1,4,4,2,4,12,4,7,2,13
689839,1,3,4,4,3,2,4,12,2,10
986259,2,1,4,2,3,3,1,6,4,6
870340,2,13,4,5,2,7,3,5,1,5
2865,2,3,2,7,4,9,3,11,2,12
633176,3,1,4,9,3,11,2,8,1,9
476816,1,12,2,2,4,7,4,5,4,10
240078,4,12,2,9,4,5,3,7,1,11
243425,2,1,1,8,2,8,2,9,4,9
70210,2,7,3,9,4,10,2,2,3,10
658046,3,7,4,7,3,8,3,3,4,10
560480,1,9,1,5,2,2,4,13,2,8
672281,2,12,3,4,2,1,4,1,3,5
303187,2,9,4,7,2,10,2,13,1,4
253811,4,12,3,2,4,13,1,13,4,5
530593,1,3,2,7,3,12,2,12,3,1
361147,1,5,2,2,2,8,2,11,3,13
655491,1,8,2,13,4,8,2,2,1,6
790715,1,5,2,2,2,10,1,13,3,9
905817,2,12,1,11,3,2,1,8,1,4
475867,4,2,1,7,4,5,2,9,2,13
70413,3,9,2,5,2,4,1,13,3,5
627237,4,5,4,10,3,8,4,4,1,10
627024,4,13,1,11,3,2,4,9,2,10
890603,4,2,1,3,2,2,2,8,3,4
659990,1,11,3,7,3,10,2,9,4,1
439067,4,7,1,12,3,2,1,2,3,6
240993,1,7,3,3,3,9,2,13,2,5
62926,2,11,3,8,2,12,4,6,3,3
550687,3,7,2,10,4,7,1,6,1,1
407544,3,6,2,9,2,7,2,3,2,4
217220,3,11,2,3,4,3,1,8,1,1
386191,3,9,2,13,1,1,1,4,4,12
784945,3,9,4,13,2,11,2,1,4,4
567491,4,12,2,7,3,12,2,9,4,10
572825,4,8,2,7,2,10,1,2,4,12
443466,3,3,1,2,4,10,4,12,3,11
621570,2,6,3,9,1,13,3,7,3,1
973829,3,1,2,4,4,12,1,8,3,2
22456,2,3,2,6,4,7,3,8,1,2
331857,1,13,3,3,3,11,2,9,4,11
152695,3,4,1,2,2,11,4,3,3,8
72240,2,13,4,11,3,13,3,11,4,1
366799,1,11,1,7,2,2,3,5,1,8
8113,1,5,3,7,2,7,1,3,3,11
969315,1,6,4,2,1,11,3,11,1,9
985379,3,6,1,1,2,1,2,5,1,10
163858,4,12,1,11,3,12,2,13,2,4
503714,3,5,1,4,4,13,4,11,4,6
646703,3,5,4,6,1,8,1,7,3,7
383676,2,3,1,11,3,8,4,5,4,1
487859,1,2,1,8,3,7,1,4,4,8
41166,3,4,3,1,3,12,3,11,3,13
486671,1,6,1,12,3,1,2,6,3,4
572116,4,4,4,5,1,13,3,5,1,4
259221,3,3,1,5,3,13,4,12,4,1
334011,3,5,1,3,2,6,4,1,1,5
635281,2,7,4,13,4,7,4,10,1,6
983174,2,7,3,4,3,1,1,4,3,5
557508,3,7,4,13,1,10,4,4,4,10
613228,4,1,4,12,4,3,2,2,3,11
46494,3,13,1,4,4,9,3,5,1,5
253679,4,7,2,9,4,11,3,4,1,5
706004,1,8,3,1,2,6,2,8,1,5
90304,2,4,1,1,2,3,1,13,4,3
661668,2,11,2,8,3,10,2,9,3,4
762502,4,10,1,9,1,6,3,6,4,11
129403,1,4,2,12,2,4,2,11,1,5
161107,4,12,3,5,1,10,3,8,1,1
164106,1,6,1,10,3,4,4,5,3,11
720648,1,12,1,1,1,13,4,5,2,4
698779,4,2,1,1,3,13,2,11,2,1
336464,2,13,2,12,1,4,1,3,4,1
842155,1,7,4,6,3,2,4,4,4,10
519751,3,2,4,7,4,1,4,12,3,5
611371,4,1,3,6,4,9,2,11,3,12
276997,1,10,4,1,3,12,2,1,4,13
42602,4,9,2,10,2,13,3,7,1,8
165843,2,13,2,3,3,3,1,11,2,6
781804,2,2,4,2,4,12,1,11,1,13
255560,2,6,1,8,4,6,4,5,1,9
531341,2,7,2,4,1,11,2,10,3,13
778137,1,3,3,12,3,7,3,6,1,11
52172,2,4,1,4,2,1,3,12,1,12
813615,4,12,2,13,3,9,4,10,4,11
430442,1,13,1,11,4,12,3,5,3,11
925654,4,3,4,2,4,8,2,8,2,13
962641,1,6,4,7,4,6,3,5,1,1
942788,4,13,4,10,1,9,4,3,2,13
227277,1,10,2,13,2,7,4,3,3,7
787029,1,1,2,13,4,5,3,12,4,3
390642,4,6,3,12,1,12,3,6,2,1
52209,3,5,1,6,2,2,2,8,2,13
803238,4,2,2,6,4,9,4,13,2,7
394323,3,13,2,1,1,6,3,6,2,5
886874,2,1,4,12,1,8,3,11,1,12
656542,3,1,3,12,2,12,1,5,4,4
287218,1,3,3,3,2,4,1,12,4,6
466271,3,12,4,7,4,6,2,6,1,8
444022,1,7,4,13,3,10,3,4,3,7
400417,2,11,2,5,2,7,1,2,3,2
332849,4,4,1,13,2,1,3,5,2,7
356292,2,11,1,8,3,4,1,5,1,11
461082,4,11,3,8,3,7,1,7,1,13
195243,3,1,2,6,1,13,4,1,3,5
528961,2,6,2,5,1,13,2,3,2,2
483436,2,5,4,6,4,2,1,4,3,2
3662,3,6,1,4,2,9,1,11,4,12
864782,3,4,2,8,4,13,1,4,1,9
429986,2,6,1,2,1,12,3,12,3,4
321016,1,7,2,6,1,8,4,9,4,7
727506,1,1,1,9,3,1,3,7,1,13
683369,2,5,3,11,1,8,2,13,1,3
796144,3,4,1,8,4,11,3,7,3,2
798490,3,3,2,8,4,3,1,9,4,8
147190,2,9,2,5,4,5,4,11,2,1
163453,3,9,4,12,4,9,4,13,2,10
161045,1,10,2,2,1,8,3,9,4,1
144824,1,7,4,1,4,9,2,4,4,5
866612,1,8,4,5,1,3,2,4,2,12
474155,4,7,2,6,2,12,3,11,1,6
983500,3,10,2,6,4,3,4,2,1,4
183057,2,3,1,1,3,10,4,5,4,11
507440,1,5,1,8,3,12,3,8,2,1
130057,1,6,4,4,1,3,2,12,3,4
891747,2,10,1,12,1,5,2,8,4,8
918825,4,11,1,8,2,2,4,8,1,5
404607,2,9,4,10,1,9,4,3,1,10
177584,2,11,2,12,4,13,1,12,4,8
753859,4,8,2,11,2,1,2,6,4,11
942209,4,11,2,2,1,11,4,8,2,5
841560,2,12,2,11,1,3,2,4,4,4
532571,4,4,4,10,3,7,4,2,2,1
663757,4,4,4,6,3,9,4,13,2,2
75640,4,5,3,8,2,12,3,12,3,5
973552,1,5,4,4,4,2,2,11,1,11
998223,4,5,3,7,1,13,3,8,3,1
431349,2,10,4,3,1,9,2,7,4,4
970850,1,11,4,7,4,4,1,3,1,13
474660,3,6,1,8,3,2,3,10,1,3
106463,1,12,1,4,1,10,2,8,2,7
862391,4,2,1,7,4,3,4,10,4,6
441620,1,12,2,7,2,4,3,2,4,8
580838,3,6,4,3,3,11,2,2,4,1
509670,2,1,4,12,4,2,3,2,3,6
105956,3,3,2,8,1,11,3,12,4,2
838830,1,5,2,6,4,4,4,6,3,5
917571,2,8,1,13,3,4,2,5,1,9
892552,3,1,3,5,4,8,1,11,3,9
99496,2,12,2,9,1,6,2,2,1,1
322470,4,8,2,6,4,5,4,3,3,13
137956,2,13,2,4,2,5,1,13,4,10
234392,3,3,1,10,3,10,3,13,2,2
618590,2,11,1,10,4,4,1,4,3,11
732045,2,6,4,10,4,5,1,5,2,1
771476,1,10,1,8,1,1,1,12,2,3
846236,2,11,2,7,2,4,1,8,3,8
443391,3,6,2,5,4,10,1,13,1,6
585827,1,11,1,4,2,3,1,2,1,5
689880,4,12,2,2,3,12,4,5,3,3
40416,2,6,3,2,2,4,1,8,4,4
428097,2,11,3,2,1,2,4,13,1,12
551715,4,3,2,13,3,5,3,10,4,12
120586,4,7,3,4,2,9,4,3,4,11
477067,3,13,2,2,3,9,4,8,4,11
948377,3,3,4,12,2,2,1,3,4,7
347072,3,9,1,1,4,6,4,9,4,8
966526,1,6,1,9,4,7,2,2,3,10
243140,1,2,2,3,3,5,3,8,4,13
788295,2,6,3,11,1,4,2,8,3,9
492745,1,1,3,11,1,6,2,11,2,9
44263,1,11,2,3,3,5,1,13,1,2
328124,2,10,4,11,4,12,1,5,1,12
305793,3,5,1,8,2,6,2,11,2,13
960515,3,4,2,11,1,10,4,3,1,2
142686,4,13,3,7,4,5,2,11,1,10
976764,3,5,2,8,3,3,2,10,4,12
816872,2,13,3,6,4,12,1,1,2,8
243331,2,8,3,2,3,5,1,6,4,10
121498,2,13,3,5,4,10,3,3,1,13
589245,1,13,3,6,3,8,4,13,3,10
653036,3,7,4,8,2,11,4,5,2,4
247124,4,8,2,1,2,4,4,2,3,9
109973,4,3,3,12,2,5,3,13,3,9
242803,1,3,3,8,3,3,2,13,1,12
184171,4,7,1,12,2,1,1,8,2,7
1920,3,6,4,11,1,9,3,5,1,11
918986,3,4,1,13,2,11,1,7,4,5
451163,1,5,4,9,4,4,2,9,2,4
40159,4,12,3,10,4,8,1,11,3,5
159729,2,9,4,13,1,4,1,6,3,9
354349,4,3,1,11,4,6,3,1,3,9
903596,1,7,3,1,4,2,1,12,2,12
72420,2,13,1,9,2,1,4,12,1,8
469318,3,4,2,2,1,1,2,10,1,5
242391,4,5,3,2,4,3,2,4,4,2
587676,2,5,1,4,2,12,3,2,3,6
197987,3,9,1,3,4,12,2,11,4,13
459699,4,5,1,5,3,3,3,4,4,9
904556,3,1,1,4,2,13,4,7,2,3
84556,2,2,2,12,1,13,2,10,2,1
52099,4,7,4,8,3,2,4,10,1,8
404216,2,5,2,6,3,9,2,3,1,13
978713,3,1,4,6,1,9,3,8,4,8
839678,1,4,1,1,4,7,4,5,1,3
960943,1,7,3,2,1,6,4,7,4,9
695053,3,4,2,10,3,12,3,10,2,1
825818,2,4,1,8,4,1,2,8,3,7
302952,3,2,2,12,1,9,1,7,2,13
300400,4,2,1,12,4,3,4,12,2,4
903607,1,7,3,1,4,6,3,7,3,9
379817,4,6,2,1,2,10,3,2,2,11
88755,4,13,2,6,1,1,3,5,2,12
370440,2,4,2,3,2,1,4,7,2,7
657461,2,7,1,13,2,13,3,5,4,10
179466,4,6,2,9,4,7,3,9,3,7
25210,2,10,2,4,2,13,4,4,2,11
792208,3,6,2,5,3,9,3,10,3,12
617375,4,13,1,13,4,2,1,12,4,12
890147,4,3,4,9,3,13,3,2,3,12
541825,1,9,3,8,2,11,1,12,1,4
447663,4,1,2,1,1,6,2,10,3,2
846652,4,9,1,8,2,2,3,11,2,11
415847,3,1,3,6,3,2,1,1,4,2
526723,2,2,4,9,1,1,1,10,4,2
263381,4,4,4,10,2,9,3,11,1,12
535549,3,12,3,7,2,13,2,2,3,3
595607,4,6,3,8,4,12,2,7,4,11
65376,2,7,3,12,4,10,1,1,1,2
424698,4,11,1,13,4,12,3,13,2,10
389809,1,4,1,1,4,7,2,3,3,4
755782,2,1,1,4,3,9,3,6,2,3
958546,4,13,3,7,3,3,4,10,3,5
275766,3,11,4,1,2,1,1,6,2,6
733069,1,8,4,2,1,12,3,13,3,1
264384,4,6,2,6,1,9,3,8,2,1
940199,4,11,4,1,2,11,3,4,4,12
687767,4,5,2,9,4,12,1,9,2,3
23233,2,6,3,13,3,2,1,8,1,13
667408,1,1,4,7,2,4,2,9,4,12
684061,4,7,1,1,1,12,1,5,3,12
899792,3,2,2,9,1,13,1,10,3,1
619388,1,6,2,2,1,8,2,6,4,2
589500,2,13,1,7,4,6,1,4,4,2
550132,1,7,1,13,3,3,2,6,3,8
109785,3,7,2,10,1,5,2,12,3,2
398446,1,10,3,4,4,11,1,3,3,9
979777,2,9,1,6,1,2,2,5,4,3
421416,3,11,3,8,2,5,1,1,2,4
903778,2,9,2,10,4,13,3,2,2,11
35176,1,12,2,9,1,7,2,5,3,13
410084,1,11,2,4,2,10,4,9,2,12
992157,4,7,2,11,4,5,3,1,3,4
481788,3,5,1,9,2,1,2,9,4,1
419106,2,3,4,9,4,13,4,7,3,2
984338,4,8,2,2,1,8,4,1,4,4
494083,1,6,3,4,4,3,3,11,2,3
680398,3,5,2,10,2,6,2,7,4,8
980188,4,11,1,6,1,11,3,7,3,13
126109,4,12,2,6,3,6,3,10,2,8
364800,1,6,2,2,2,6,4,11,4,7
515590,1,13,3,6,1,6,3,11,2,1
715926,2,6,3,4,2,1,4,9,4,11
163605,3,4,4,6,2,9,4,9,4,13
679147,2,7,1,6,4,6,3,12,2,1
101897,1,6,1,7,4,3,3,2,4,9
613725,3,7,1,3,4,10,1,4,2,4
42257,4,3,1,9,4,12,3,12,4,5
930037,1,12,2,7,1,7,4,11,4,6
317600,1,1,2,7,3,9,2,10,2,13
415739,1,2,3,3,1,12,2,13,4,3
906203,3,2,3,1,2,7,2,4,1,4
226258,4,7,3,4,2,10,3,5,2,3
759832,3,6,2,10,3,7,4,13,1,6
554280,2,1,3,5,1,7,3,2,4,13
843288,1,12,4,11,4,1,2,8,3,12
443779,3,13,2,9,1,4,3,11,2,13
980146,2,6,3,7,2,4,4,6,3,13
410296,3,11,3,8,3,6,4,12,3,2
208679,4,5,1,5,2,13,3,11,3,7
99174,4,10,1,11,4,13,2,11,2,4
967518,2,11,3,2,1,1,3,12,1,6
4919,1,4,2,3,4,6,3,5,1,10
640386,4,11,4,13,3,9,2,4,1,4
618182,3,8,4,4,4,8,3,2,2,3
938572,2,13,1,6,4,2,4,13,4,6
783533,4,5,3,8,1,11,3,3,4,13
623442,2,3,3,8,2,9,4,9,4,13
486413,2,6,1,12,2,1,3,4,2,4
457561,3,2,3,4,4,4,2,7,4,3
559756,4,1,3,8,4,13,3,4,2,10
237891,3,8,4,4,3,2,3,9,2,10
184502,1,7,4,6,3,10,2,4,4,5
237278,2,11,3,12,3,1,4,9,1,4
218625,2,13,2,6,2,11,2,4,3,12
885583,2,7,4,3,1,8,4,8,4,4
429611,1,9,3,10,4,2,2,7,1,1
165978,3,1,1,8,2,8,3,8,2,7
396530,2,7,3,9,1,13,2,1,2,9
42818,1,12,1,4,4,9,4,3,2,11
290905,4,2,3,12,1,8,2,11,4,10
55277,2,5,3,8,3,12,1,2,2,6
165250,1,7,3,13,2,5,1,13,4,12
952609,3,7,1,7,3,1,2,9,1,5
90682,3,10,1,3,3,1,3,7,4,12
348828,4,5,4,10,4,12,1,10,1,7
919529,4,6,3,5,1,4,2,3,4,8
319851,1,11,1,6,2,8,2,1,4,1
324516,4,7,2,12,1,7,2,10,2,8
628118,3,8,4,2,3,12,3,1,3,7
610615,2,8,1,9,3,8,2,3,1,6
747686,4,10,3,7,3,13,4,6,2,7
100199,1,1,3,1,4,2,2,8,4,4
905222,4,2,4,1,1,4,3,4,2,7
217681,3,1,2,2,1,7,4,11,1,5
894847,4,4,3,12,4,5,3,11,2,6
719878,3,4,3,7,2,5,2,12,4,9
364580,2,12,4,4,4,2,2,7,3,10
844798,1,11,1,6,1,10,2,11,2,8
111771,2,13,4,8,3,1,3,3,4,6
768676,3,7,2,13,2,9,4,12,1,7
616913,2,9,2,1,2,12,1,6,2,7
795310,2,2,4,4,1,10,4,12,3,13
769911,2,5,1,10,4,9,2,8,1,12
467392,2,8,1,1,2,13,4,12,1,10
633972,3,11,2,4,1,8,1,4,1,6
354775,3,6,4,11,2,3,1,12,2,8
844399,2,9,3,9,4,7,2,5,4,8
276971,1,7,3,12,4,2,1,8,4,12
697411,4,1,4,6,2,10,3,12,1,2
919114,1,5,2,13,1,1,4,9,1,7
426449,3,4,4,4,2,4,1,12,3,9
748617,3,3,4,1,2,1,1,7,1,13
140999,2,3,4,13,2,9,2,4,4,1
286046,1,11,2,8,2,4,1,5,4,2
74547,4,13,1,10,3,11,3,7,2,5
343885,2,13,2,6,3,6,4,10,4,4
641909,2,11,3,8,3,12,4,7,1,8
677042,4,5,2,6,1,4,3,8,1,3
909211,4,9,3,6,3,1,3,2,1,6
423719,2,5,1,8,2,2,4,11,1,5
129227,3,9,2,9,1,8,3,7,4,3
928386,1,11,2,2,1,6,3,11,2,11
446847,4,3,3,11,4,9,4,12,4,8
83009,2,13,1,10,3,10,2,8,2,5
698733,1,5,1,12,1,1,2,7,4,2
548161,4,6,1,3,3,11,1,1,3,9
890290,3,8,4,1,3,4,2,10,3,9
877149,4,12,2,7,1,12,1,2,4,2
696885,2,10,4,3,1,2,1,5,4,13
59270,3,7,1,3,4,12,4,5,2,9
625812,3,12,4,8,2,7,3,10,2,6
896083,3,4,3,13,4,6,1,13,3,3
372958,4,10,3,4,2,13,4,5,2,4
618717,3,4,1,2,1,13,4,6,4,1
83979,1,8,3,12,4,12,1,2,4,2
