,Poker Hand
291,0
292,0
293,0
294,1
295,1
296,0
297,1
298,1
299,3
300,0
301,1
302,0
303,0
304,0
305,0
306,1
307,1
308,1
309,0
310,0
311,1
312,0
313,0
314,1
315,1
316,1
317,0
318,1
319,0
320,0
321,0
322,0
323,1
324,0
325,2
326,0
327,0
328,3
329,0
330,0
331,0
332,0
333,0
334,2
335,0
336,1
337,3
338,0
339,1
340,2
341,1
342,0
343,1
344,1
345,1
346,3
347,1
348,0
349,1
350,0
351,0
352,0
353,0
354,1
355,1
356,1
357,1
358,0
359,1
360,1
361,1
362,1
363,2
364,0
365,0
366,0
367,3
368,1
369,0
370,0
371,0
372,1
373,0
374,1
375,1
376,1
377,1
378,1
379,2
380,1
381,1
382,3
383,0
384,0
385,0
386,0
387,0
388,1
389,0
390,0
391,1
392,1
393,1
394,1
395,1
396,0
397,0
398,0
399,0
400,1
401,4
402,1
403,0
404,0
405,0
406,0
407,1
408,1
409,0
410,2
411,0
412,0
413,1
414,0
415,0
416,0
417,0
418,1
419,2
420,0
421,1
422,0
423,0
424,6
425,1
426,0
427,0
428,1
429,1
430,0
431,1
432,0
433,0
434,1
435,1
436,0
437,0
438,0
439,1
440,0
441,0
442,1
443,1
444,1
445,3
446,0
447,1
448,3
449,2
450,0
451,0
452,0
453,2
454,0
455,1
456,1
457,1
458,0
459,0
460,0
461,0
462,0
463,0
464,1
465,1
466,0
467,0
468,2
469,1
470,0
471,1
472,0
473,0
474,0
475,3
476,0
477,3
478,0
479,0
480,1
481,1
482,3
483,1
484,0
485,1
486,1
487,0
488,0
489,1
490,1
491,3
492,0
493,1
494,2
495,1
496,1
497,0
498,1
499,1
500,0
501,0
502,0
503,2
504,1
505,0
506,1
507,0
508,0
509,0
510,2
511,1
512,6
513,1
514,0
515,0
516,0
517,0
518,1
519,1
520,0
521,0
522,2
523,0
524,0
525,0
526,1
527,1
528,0
529,1
530,1
531,1
532,0
533,1
534,1
535,0
536,1
537,0
538,1
539,0
540,1
541,0
542,0
543,0
544,0
545,2
546,0
547,0
548,0
549,0
550,1
551,2
552,0
553,1
554,1
555,0
556,0
557,1
558,0
559,0
560,1
561,1
562,0
563,1
564,1
565,1
566,1
567,1
568,0
569,0
570,1
571,0
572,1
573,0
574,1
575,1
576,0
577,0
578,1
579,0
580,0
581,1
582,0
583,1
584,1
585,0
586,1
587,0
588,1
589,0
590,0
591,0
592,1
593,1
594,1
595,0
596,0
597,1
598,0
599,0
600,0
601,0
602,1
603,0
604,1
605,1
606,1
607,1
608,0
609,1
610,0
611,0
612,1
613,1
614,0
615,1
616,0
617,0
618,0
619,1
620,0
621,1
622,0
623,0
624,0
625,0
626,2
627,0
628,0
629,1
630,1
631,0
632,0
633,1
634,0
635,0
636,0
637,0
638,2
639,1
640,1
641,1
642,0
643,1
644,0
645,1
646,0
647,3
648,1
649,1
650,0
651,0
652,0
653,3
654,0
655,0
656,0
657,1
658,1
659,5
660,1
661,0
662,0
663,0
664,1
665,0
666,1
667,1
668,0
669,0
670,1
671,1
672,1
673,1
674,0
675,0
676,0
677,0
678,0
679,1
680,0
681,1
682,1
683,1
684,1
685,1
686,2
687,1
688,0
689,2
690,0
691,1
692,0
693,1
694,1
695,1
696,0
697,5
698,1
699,0
700,0
701,0
702,1
703,1
704,1
705,1
706,1
707,0
708,1
709,0
710,0
711,1
712,1
713,1
714,1
715,1
716,0
717,1
718,0
719,0
720,1
721,0
722,0
723,0
724,0
725,2
726,0
727,1
728,1
729,1
730,1
731,0
732,0
733,0
734,0
735,1
736,0
737,1
738,1
739,0
740,0
741,1
742,0
743,1
744,0
745,1
746,1
747,1
748,0
749,1
750,1
751,1
752,1
753,1
754,0
755,0
756,0
757,0
758,0
759,0
760,1
761,0
762,0
763,0
764,1
765,1
766,0
767,1
768,4
769,1
770,0
771,1
772,0
773,1
774,0
775,0
776,0
777,1
778,1
779,2
780,1
781,1
782,0
783,0
784,1
785,1
786,0
787,0
788,1
789,1
790,0
791,0
792,1
793,1
794,1
795,1
796,1
797,0
798,0
799,1
800,1
801,0
802,0
803,3
804,1
805,0
806,0
807,1
808,0
809,1
810,0
811,0
812,2
813,5
814,0
815,2
816,0
817,0
818,0
819,1
820,1
821,0
822,0
823,0
824,0
825,0
826,3
827,1
828,1
829,1
830,1
831,2
832,1
833,0
834,0
835,2
836,0
837,1
838,1
839,0
840,0
841,0
842,1
843,0
844,0
845,0
846,0
847,1
848,0
849,4
850,1
851,1
852,1
853,0
854,1
855,1
856,0
857,0
858,0
859,0
860,1
861,0
862,0
863,0
864,2
865,0
866,0
867,0
868,0
869,0
870,0
871,1
872,1
873,0
874,0
875,1
876,0
877,0
878,0
879,1
880,1
881,1
882,0
883,0
884,0
885,0
886,1
887,2
888,1
889,0
890,0
891,1
892,1
893,0
894,0
895,0
896,0
897,0
898,1
899,1
900,2
901,1
902,0
903,2
904,1
905,0
906,0
907,0
908,1
909,1
910,0
911,2
912,1
913,0
914,1
915,1
916,0
917,0
918,0
919,1
920,0
921,5
922,0
923,1
924,1
925,0
926,0
927,0
928,0
929,1
930,1
931,0
932,0
933,0
934,1
935,1
936,1
937,1
938,1
939,1
940,1
941,1
942,1
943,0
944,0
945,0
946,2
947,1
948,0
949,0
950,1
951,0
952,1
953,2
954,1
955,0
956,0
957,1
958,1
959,1
960,1
961,0
962,1
963,0
964,0
965,0
966,1
967,1
968,1
969,2
970,1
971,0
972,0
973,0
974,0
975,5
976,1
977,0
978,0
979,1
980,0
981,1
982,1
983,1
984,0
985,0
986,0
987,1
988,1
989,5
990,0
991,1
992,0
993,0
994,1
995,1
996,1
997,0
998,1
999,1
1000,0
1001,1
1002,1
1003,1
1004,1
1005,0
1006,1
1007,0
1008,1
1009,1
1010,0
1011,0
1012,0
1013,1
1014,0
1015,0
1016,0
1017,0
1018,1
1019,4
1020,0
1021,0
1022,1
1023,1
1024,0
1025,0
1026,1
1027,0
1028,0
1029,0
1030,0
1031,1
1032,0
1033,0
1034,1
1035,0
1036,1
1037,0
1038,0
1039,1
1040,1
1041,1
1042,3
1043,1
1044,0
1045,1
1046,2
1047,1
1048,1
1049,0
1050,0
1051,2
1052,0
1053,1
1054,0
1055,0
1056,1
1057,1
1058,0
1059,1
1060,0
1061,0
1062,4
1063,0
1064,0
1065,1
1066,1
1067,1
1068,0
1069,1
1070,0
1071,1
1072,0
1073,1
1074,0
1075,1
1076,0
1077,1
1078,1
1079,1
1080,3
1081,0
1082,1
1083,0
1084,0
1085,0
1086,1
1087,1
1088,0
1089,1
1090,0
1091,0
1092,2
1093,0
1094,0
1095,1
1096,1
1097,1
1098,1
1099,1
1100,0
1101,1
1102,0
1103,0
1104,0
1105,3
1106,0
1107,0
1108,1
1109,1
1110,0
1111,0
1112,0
1113,0
1114,0
1115,0
1116,0
1117,1
1118,0
1119,0
1120,1
1121,0
1122,0
1123,1
1124,1
1125,0
1126,1
1127,0
1128,1
1129,1
1130,1
1131,0
1132,1
1133,0
1134,1
1135,0
1136,0
1137,1
1138,1
1139,0
1140,0
1141,1
1142,0
1143,2
1144,1
1145,2
1146,0
1147,1
1148,0
1149,1
1150,0
1151,0
1152,0
1153,0
1154,0
1155,1
1156,1
1157,0
1158,1
1159,1
1160,0
1161,0
1162,0
1163,2
1164,0
1165,1
1166,1
1167,1
1168,0
1169,1
1170,0
1171,0
1172,1
1173,1
1174,1
1175,0
1176,0
1177,1
1178,0
1179,1
1180,1
1181,0
1182,1
1183,1
1184,0
1185,1
1186,0
1187,1
1188,0
1189,0
1190,0
1191,0
1192,1
1193,0
1194,0
1195,1
1196,0
1197,1
1198,1
1199,0
1200,1
1201,0
1202,0
1203,0
1204,1
1205,0
1206,1
1207,0
1208,1
1209,0
1210,1
1211,1
1212,1
1213,0
1214,1
1215,1
1216,1
1217,0
1218,0
1219,1
1220,1
1221,1
1222,0
1223,1
1224,3
1225,0
1226,0
1227,0
1228,1
1229,0
1230,0
1231,0
1232,0
1233,0
1234,1
1235,1
1236,0
1237,2
1238,0
1239,0
1240,0
1241,0
1242,1
1243,1
1244,1
1245,0
1246,0
1247,1
1248,0
1249,0
1250,1
1251,1
1252,0
1253,0
1254,0
1255,0
1256,0
1257,1
1258,0
1259,0
1260,1
1261,1
1262,1
1263,1
1264,0
1265,2
1266,1
1267,1
1268,2
1269,0
1270,1
1271,0
1272,1
1273,0
1274,0
1275,1
1276,1
1277,0
1278,4
1279,1
1280,1
1281,1
1282,0
1283,0
1284,0
1285,1
1286,0
1287,1
1288,1
1289,1
1290,0
1291,0
1292,0
1293,1
1294,0
1295,0
1296,1
1297,0
1298,1
1299,1
1300,1
1301,1
1302,0
1303,1
1304,0
1305,0
1306,0
1307,0
1308,1
1309,1
1310,0
1311,1
1312,2
1313,0
1314,0
1315,0
1316,0
1317,1
1318,1
1319,0
1320,0
1321,1
1322,1
1323,0
1324,1
1325,0
1326,0
1327,0
1328,1
1329,0
1330,1
1331,1
1332,0
1333,0
1334,2
1335,0
1336,1
1337,1
1338,0
1339,0
1340,0
1341,1
1342,1
1343,1
1344,0
1345,0
1346,1
1347,0
1348,0
1349,0
1350,0
1351,1
1352,1
1353,0
1354,1
1355,1
1356,0
1357,1
1358,0
1359,0
1360,0
1361,1
1362,1
1363,1
1364,1
1365,1
1366,1
1367,1
1368,0
1369,0
1370,0
1371,1
1372,1
1373,0
1374,0
1375,0
1376,1
1377,2
1378,1
1379,1
1380,0
1381,0
1382,1
1383,1
1384,0
1385,1
1386,1
1387,0
1388,1
1389,0
1390,2
1391,1
1392,0
1393,0
1394,0
1395,0
1396,1
1397,0
1398,0
1399,1
1400,0
1401,1
1402,1
1403,1
1404,0
1405,1
1406,1
1407,0
1408,1
1409,0
1410,0
1411,2
1412,0
1413,0
1414,1
1415,0
1416,0
1417,0
1418,1
1419,0
1420,1
1421,1
1422,0
1423,0
1424,0
1425,3
1426,0
1427,0
1428,0
1429,0
1430,2
1431,1
1432,3
1433,1
1434,0
1435,0
1436,1
1437,0
1438,1
1439,1
1440,0
1441,1
1442,0
1443,1
1444,1
1445,1
1446,1
1447,0
1448,2
1449,1
1450,1
1451,1
1452,0
1453,1
1454,1
1455,0
1456,0
1457,1
1458,2
1459,1
1460,0
1461,0
1462,1
1463,2
1464,0
1465,1
1466,0
1467,1
1468,1
1469,2
1470,1
1471,1
1472,0
1473,1
1474,0
1475,0
1476,0
1477,0
1478,0
1479,0
1480,1
1481,0
1482,0
1483,0
1484,2
1485,1
1486,0
1487,1
1488,0
1489,1
1490,0
1491,0
1492,0
1493,1
1494,2
1495,1
1496,0
1497,1
1498,1
1499,0
1500,0
1501,0
1502,1
1503,0
1504,0
1505,2
1506,2
1507,5
1508,1
1509,1
1510,1
1511,0
1512,0
1513,0
1514,0
1515,1
1516,1
1517,0
1518,0
1519,1
1520,1
1521,1
1522,1
1523,0
1524,2
1525,2
1526,1
1527,1
1528,1
1529,0
1530,1
1531,1
1532,6
1533,1
1534,1
1535,0
1536,0
1537,0
1538,0
1539,1
1540,0
1541,0
1542,0
1543,1
1544,0
1545,1
1546,1
1547,1
1548,1
1549,1
1550,1
1551,0
1552,1
1553,0
1554,0
1555,0
1556,0
1557,1
1558,1
1559,1
1560,1
1561,1
1562,0
1563,0
1564,1
1565,0
1566,0
1567,0
1568,0
1569,0
1570,1
1571,0
1572,0
1573,1
1574,2
1575,1
1576,0
1577,0
1578,1
1579,1
1580,0
1581,0
1582,1
1583,0
1584,0
1585,0
1586,1
1587,0
1588,1
1589,0
1590,1
1591,0
1592,1
1593,1
1594,1
1595,0
1596,1
1597,0
1598,1
1599,1
1600,1
1601,1
1602,0
1603,1
1604,1
1605,0
1606,0
1607,0
1608,1
1609,1
1610,0
1611,0
1612,0
1613,2
1614,0
1615,1
1616,1
1617,1
1618,0
1619,3
1620,0
1621,1
1622,0
1623,1
1624,3
1625,1
1626,3
1627,0
1628,0
1629,1
1630,0
1631,1
1632,1
1633,0
1634,1
1635,0
1636,1
1637,1
1638,1
1639,1
1640,1
1641,1
1642,0
1643,1
1644,0
1645,0
1646,1
1647,0
1648,0
1649,1
1650,1
1651,1
1652,0
1653,3
1654,0
1655,0
1656,1
1657,1
1658,1
1659,0
1660,1
1661,1
1662,1
1663,1
1664,0
1665,0
1666,1
1667,0
1668,0
1669,0
1670,1
1671,1
1672,0
1673,0
1674,0
1675,0
1676,1
1677,0
1678,1
1679,0
1680,0
1681,1
1682,0
1683,0
1684,0
1685,1
1686,0
1687,0
1688,0
1689,0
1690,0
1691,1
1692,0
1693,0
1694,0
1695,1
1696,0
1697,1
1698,0
1699,1
1700,0
1701,1
1702,0
1703,0
1704,0
1705,0
1706,0
1707,0
1708,1
1709,2
1710,0
1711,0
1712,1
1713,0
1714,0
1715,0
1716,0
1717,1
1718,1
1719,0
1720,1
1721,1
1722,1
1723,0
1724,0
1725,0
1726,0
1727,0
1728,1
1729,1
1730,1
1731,0
1732,0
1733,1
1734,0
1735,0
1736,1
1737,1
1738,1
1739,0
1740,0
1741,0
1742,0
1743,1
1744,1
1745,1
1746,1
1747,1
1748,0
1749,0
1750,1
1751,0
1752,2
1753,0
1754,1
1755,1
1756,1
1757,1
1758,0
1759,1
1760,1
1761,0
1762,1
1763,1
1764,0
1765,0
1766,1
1767,0
1768,1
1769,1
1770,2
1771,0
1772,0
1773,2
1774,0
1775,0
1776,0
1777,0
1778,0
1779,1
1780,0
1781,0
1782,0
1783,0
1784,1
1785,2
1786,1
1787,0
1788,1
1789,0
1790,0
1791,1
1792,0
1793,1
1794,0
1795,0
1796,1
1797,0
1798,1
1799,2
1800,1
1801,1
1802,0
1803,0
1804,0
1805,0
1806,0
1807,0
1808,0
1809,0
1810,0
1811,0
1812,1
1813,1
1814,0
1815,1
1816,2
1817,0
1818,1
1819,1
1820,0
1821,1
1822,0
1823,0
1824,0
1825,1
1826,0
1827,0
1828,1
1829,0
1830,0
1831,1
1832,1
1833,0
1834,1
1835,0
1836,0
1837,1
1838,0
1839,1
1840,0
1841,3
1842,1
1843,0
1844,1
1845,0
1846,0
1847,1
1848,0
1849,0
1850,0
1851,0
1852,0
1853,1
1854,1
1855,0
1856,1
1857,0
1858,4
1859,0
1860,1
1861,1
1862,0
1863,1
1864,0
1865,0
1866,0
1867,0
1868,1
1869,0
1870,0
1871,1
1872,1
1873,1
1874,1
1875,0
1876,0
1877,1
1878,0
1879,0
1880,1
1881,0
1882,0
1883,1
1884,0
1885,1
1886,1
1887,0
1888,0
1889,1
1890,1
1891,1
1892,1
1893,1
1894,0
1895,3
1896,1
1897,2
1898,0
1899,1
1900,0
1901,1
1902,1
1903,0
1904,0
1905,1
1906,0
1907,0
1908,1
1909,1
1910,0
1911,2
1912,1
1913,0
1914,0
1915,0
1916,1
1917,0
1918,1
1919,1
1920,1
1921,1
1922,0
1923,1
1924,1
1925,0
1926,0
1927,0
1928,1
1929,0
1930,3
1931,1
1932,1
1933,1
1934,1
1935,0
1936,1
1937,1
1938,0
1939,1
1940,1
1941,1
1942,0
1943,0
1944,1
1945,1
1946,1
1947,2
1948,2
1949,1
1950,1
1951,1
1952,1
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,1
1960,1
1961,0
1962,0
1963,0
1964,0
1965,0
1966,1
1967,0
1968,1
1969,0
1970,1
1971,0
1972,0
1973,0
1974,0
1975,1
1976,1
1977,0
1978,1
1979,0
1980,1
1981,0
1982,1
1983,0
1984,1
1985,1
1986,0
1987,3
1988,2
1989,1
1990,1
1991,2
1992,3
1993,1
1994,0
1995,1
1996,0
1997,1
1998,1
1999,1
2000,0
2001,0
2002,0
2003,0
2004,1
2005,0
2006,1
2007,1
2008,0
2009,0
2010,1
2011,2
2012,0
2013,1
2014,1
2015,2
2016,0
2017,1
2018,0
2019,0
2020,1
2021,0
2022,0
2023,4
2024,4
2025,0
2026,0
2027,1
2028,0
2029,1
2030,0
2031,1
2032,0
2033,1
2034,1
2035,1
2036,0
2037,0
2038,0
2039,1
2040,0
2041,1
2042,1
2043,1
2044,1
2045,0
2046,0
2047,1
2048,1
2049,1
2050,1
2051,2
2052,0
2053,0
2054,0
2055,1
2056,1
2057,1
2058,0
2059,3
2060,3
2061,0
2062,0
2063,0
2064,0
2065,1
2066,1
2067,0
2068,0
2069,1
2070,0
2071,0
2072,1
2073,0
2074,1
2075,1
2076,1
2077,3
2078,0
2079,0
2080,0
2081,0
2082,1
2083,0
2084,1
2085,1
2086,1
2087,0
2088,1
2089,1
2090,1
2091,1
2092,0
2093,0
2094,0
2095,1
2096,1
2097,1
2098,1
2099,1
2100,1
2101,1
2102,1
2103,1
2104,0
2105,0
2106,0
2107,0
2108,1
2109,0
2110,1
2111,1
2112,3
2113,0
2114,1
2115,1
2116,0
2117,0
2118,0
2119,0
2120,1
2121,1
2122,0
2123,1
2124,0
2125,0
2126,0
2127,0
2128,1
2129,1
2130,1
2131,1
2132,0
2133,1
2134,1
2135,1
2136,0
2137,1
2138,0
2139,1
2140,1
2141,0
2142,0
2143,0
2144,1
2145,1
2146,2
2147,1
2148,0
2149,0
2150,1
2151,1
2152,0
2153,1
2154,0
2155,0
2156,2
2157,0
2158,0
2159,0
2160,0
2161,0
2162,1
2163,0
2164,1
2165,0
2166,0
2167,0
2168,0
2169,2
2170,1
2171,0
2172,0
2173,1
2174,0
2175,1
2176,0
2177,1
2178,1
2179,0
2180,1
2181,1
2182,1
2183,0
2184,1
2185,0
2186,0
2187,1
2188,1
2189,0
2190,0
2191,0
2192,0
2193,2
2194,1
2195,0
2196,1
2197,0
2198,1
2199,0
2200,2
2201,3
2202,0
2203,0
2204,1
2205,1
2206,0
2207,0
2208,3
2209,1
2210,0
2211,1
2212,0
2213,1
2214,1
2215,1
2216,1
2217,1
2218,1
2219,0
2220,1
2221,1
2222,0
2223,2
2224,1
2225,1
2226,1
2227,1
2228,1
2229,0
2230,1
2231,1
2232,0
2233,1
2234,0
2235,0
2236,0
2237,1
2238,0
2239,1
2240,0
2241,0
2242,2
2243,0
2244,0
2245,1
2246,1
2247,0
2248,2
2249,0
2250,0
2251,0
2252,1
2253,1
2254,0
2255,0
2256,0
2257,0
2258,1
2259,0
2260,1
2261,3
2262,3
2263,0
2264,0
2265,1
2266,1
2267,2
2268,0
2269,1
2270,3
2271,1
2272,1
2273,1
2274,1
2275,0
2276,2
2277,0
2278,1
2279,0
2280,1
2281,1
2282,1
2283,1
2284,0
2285,1
2286,1
2287,0
2288,0
2289,0
2290,0
2291,1
2292,0
2293,1
2294,3
2295,0
2296,1
2297,1
2298,0
2299,0
2300,1
2301,1
2302,0
2303,1
2304,1
2305,1
2306,1
2307,1
2308,1
2309,1
2310,1
2311,1
2312,1
2313,1
2314,1
2315,0
2316,0
2317,0
2318,0
2319,3
2320,0
2321,0
2322,0
2323,1
2324,1
2325,2
2326,1
2327,0
2328,0
2329,1
2330,0
2331,0
2332,1
2333,0
2334,1
2335,0
2336,0
2337,0
2338,1
2339,0
2340,1
2341,0
2342,1
2343,1
2344,1
2345,0
2346,0
2347,2
2348,0
2349,1
2350,0
2351,0
2352,2
2353,0
2354,2
2355,0
2356,0
2357,1
2358,1
2359,1
2360,1
2361,1
2362,1
2363,1
2364,0
2365,0
2366,1
2367,0
2368,1
2369,0
2370,1
2371,1
2372,1
2373,0
2374,1
2375,1
2376,1
2377,0
2378,1
2379,0
2380,1
2381,1
2382,0
2383,0
2384,0
2385,0
2386,0
2387,0
2388,1
2389,0
2390,1
2391,1
2392,1
2393,0
2394,0
2395,1
2396,2
2397,2
2398,0
2399,0
2400,1
2401,0
2402,0
2403,0
2404,0
2405,0
2406,1
2407,0
2408,1
2409,0
2410,0
2411,0
2412,0
2413,1
2414,1
2415,0
2416,1
2417,1
2418,0
2419,3
2420,0
2421,0
2422,1
2423,1
2424,0
2425,0
2426,0
2427,1
2428,0
2429,0
2430,0
2431,0
2432,1
2433,0
2434,0
2435,1
2436,1
2437,2
2438,0
2439,0
2440,1
2441,1
2442,0
2443,1
2444,1
2445,0
2446,0
2447,3
2448,0
2449,0
2450,1
2451,0
2452,1
2453,0
2454,0
2455,0
2456,1
2457,0
2458,2
2459,0
2460,0
2461,2
2462,1
2463,0
2464,2
2465,0
2466,0
2467,1
2468,0
2469,0
2470,2
2471,0
2472,0
2473,0
2474,1
2475,0
2476,0
2477,0
2478,1
2479,3
2480,0
2481,1
2482,2
2483,0
2484,0
2485,0
2486,1
2487,0
2488,1
2489,1
2490,1
2491,0
2492,0
2493,0
2494,1
2495,1
2496,0
2497,0
2498,1
2499,1
2500,0
2501,0
2502,0
2503,0
2504,0
2505,0
2506,3
2507,1
2508,0
2509,1
2510,1
2511,1
2512,1
2513,1
2514,1
2515,1
2516,1
2517,1
2518,0
2519,1
2520,0
2521,1
2522,0
2523,1
2524,0
2525,2
2526,2
2527,0
2528,0
2529,0
2530,1
2531,2
2532,0
2533,1
2534,1
2535,1
2536,1
2537,1
2538,1
2539,0
2540,0
2541,1
2542,1
2543,1
2544,2
2545,0
2546,0
2547,1
2548,0
2549,0
2550,0
2551,0
2552,1
2553,0
2554,0
2555,1
2556,5
2557,0
2558,3
2559,0
2560,0
2561,2
2562,0
2563,1
2564,1
2565,1
2566,0
2567,1
2568,0
2569,1
2570,0
2571,1
2572,2
2573,0
2574,0
2575,1
2576,0
2577,0
2578,1
2579,0
2580,2
2581,6
2582,2
2583,1
2584,1
2585,1
2586,0
2587,1
2588,0
2589,0
2590,0
2591,1
2592,0
2593,0
2594,2
2595,0
2596,0
2597,1
2598,1
2599,0
2600,0
2601,0
2602,1
2603,1
2604,0
2605,1
2606,1
2607,0
2608,1
2609,0
2610,1
2611,1
2612,1
2613,0
2614,0
2615,0
2616,0
2617,1
2618,1
2619,1
2620,1
2621,0
2622,0
2623,0
2624,0
2625,0
2626,0
2627,0
2628,1
2629,0
2630,1
2631,1
2632,0
2633,1
2634,2
2635,0
2636,1
2637,0
2638,1
2639,0
2640,0
2641,0
2642,0
2643,2
2644,0
2645,2
2646,0
2647,1
2648,1
2649,0
2650,0
2651,1
2652,1
2653,0
2654,0
2655,1
2656,0
2657,0
2658,0
2659,1
2660,1
2661,1
2662,2
2663,0
2664,1
2665,0
2666,0
2667,0
2668,1
2669,0
2670,0
2671,0
2672,0
2673,1
2674,1
2675,0
2676,0
2677,1
2678,3
2679,1
2680,0
2681,0
2682,0
2683,1
2684,1
2685,0
2686,1
2687,1
2688,1
2689,0
2690,1
2691,0
2692,1
2693,0
2694,0
2695,1
2696,1
2697,0
2698,0
2699,1
2700,0
2701,1
2702,1
2703,1
2704,0
2705,0
2706,1
2707,0
2708,0
2709,6
2710,1
2711,0
2712,1
2713,1
2714,1
2715,1
2716,1
2717,1
2718,0
2719,0
2720,1
2721,3
2722,0
2723,0
2724,2
2725,0
2726,1
2727,0
2728,0
2729,1
2730,0
2731,0
2732,1
2733,0
2734,1
2735,0
2736,0
2737,0
2738,1
2739,1
2740,0
2741,0
2742,0
2743,0
2744,0
2745,0
2746,3
2747,0
2748,1
2749,1
2750,1
2751,1
2752,1
2753,1
2754,0
2755,1
2756,3
2757,0
2758,1
2759,1
2760,1
2761,1
2762,0
2763,0
2764,0
2765,1
2766,0
2767,1
2768,1
2769,1
2770,0
2771,0
2772,0
2773,1
2774,1
2775,1
2776,0
2777,0
2778,1
2779,0
2780,0
2781,0
2782,0
2783,1
2784,1
2785,1
2786,0
2787,1
2788,0
2789,0
2790,0
2791,1
2792,5
2793,1
2794,1
2795,0
2796,1
2797,1
2798,0
2799,0
2800,0
2801,2
2802,0
2803,0
2804,1
2805,0
2806,1
2807,0
2808,1
2809,0
2810,1
2811,0
2812,0
2813,1
2814,0
2815,2
2816,1
2817,1
2818,0
2819,1
2820,1
2821,1
2822,1
2823,0
2824,0
2825,1
2826,1
2827,1
2828,0
2829,1
2830,1
2831,0
2832,1
2833,0
2834,2
2835,0
2836,0
2837,1
2838,1
2839,1
2840,1
2841,0
2842,1
2843,1
2844,0
2845,1
2846,0
2847,0
2848,0
2849,1
2850,0
2851,1
2852,1
2853,1
2854,1
2855,0
2856,1
2857,1
2858,1
2859,0
2860,1
2861,1
2862,1
2863,1
2864,0
2865,1
2866,0
2867,0
2868,0
2869,1
2870,1
2871,1
2872,1
2873,0
2874,0
2875,1
2876,1
2877,2
2878,0
2879,1
2880,0
2881,1
2882,3
2883,5
2884,2
2885,0
2886,0
2887,1
2888,1
2889,1
2890,0
2891,1
2892,1
2893,0
2894,0
2895,1
2896,0
2897,1
2898,1
2899,1
2900,0
2901,1
2902,1
2903,0
2904,0
2905,0
2906,0
2907,0
2908,1
2909,2
2910,0
2911,0
2912,1
2913,1
2914,1
2915,0
2916,0
2917,0
2918,1
2919,1
2920,2
2921,0
2922,0
2923,0
2924,1
2925,1
2926,0
2927,0
2928,1
2929,0
2930,0
2931,1
2932,1
2933,0
2934,0
2935,1
2936,0
2937,1
2938,0
2939,1
2940,1
2941,1
2942,0
2943,0
2944,1
2945,0
2946,1
2947,1
2948,0
2949,1
2950,1
2951,0
2952,1
2953,3
2954,1
2955,1
2956,0
2957,1
2958,0
2959,0
2960,0
2961,0
2962,0
2963,1
2964,1
2965,1
2966,0
2967,1
2968,1
2969,1
2970,1
2971,0
2972,1
2973,1
2974,1
2975,0
2976,0
2977,1
2978,0
2979,1
2980,0
2981,0
2982,2
2983,3
2984,1
2985,1
2986,0
2987,0
2988,1
2989,1
2990,1
2991,1
2992,1
2993,0
2994,0
2995,1
